집계일자,집계시,출발영업소코드,도착영업소코드,통행시간,요일
20200201,14,101,105,800,5
20200201,14,101,105,833,5
20200201,14,101,105,752,5
20200201,14,101,105,832,5
20200201,14,101,105,869,5
20200201,14,101,105,860,5
20200201,19,101,105,869,5
20200201,19,101,105,748,5
20200201,19,101,105,863,5
20200201,19,101,105,908,5
20200201,4,101,105,604,5
20200201,4,101,105,890,5
20200201,4,101,105,781,5
20200201,4,101,105,666,5
20200201,5,101,105,615,5
20200201,5,101,105,1018,5
20200201,5,101,105,932,5
20200201,5,101,105,778,5
20200201,5,101,105,673,5
20200201,6,101,105,666,5
20200201,6,101,105,1033,5
20200201,6,101,105,931,5
20200201,6,101,105,964,5
20200201,6,101,105,940,5
20200201,6,101,105,712,5
20200201,13,101,105,792,5
20200201,13,101,105,850,5
20200201,13,101,105,765,5
20200201,13,101,105,854,5
20200201,13,101,105,896,5
20200201,13,101,105,844,5
20200201,1,101,105,614,5
20200201,1,101,105,672,5
20200201,1,101,105,781,5
20200201,1,101,105,778,5
20200201,1,101,105,654,5
20200201,2,101,105,609,5
20200201,2,101,105,685,5
20200201,2,101,105,665,5
20200201,3,101,105,605,5
20200201,3,101,105,683,5
20200201,3,101,105,814,5
20200201,3,101,105,768,5
20200201,3,101,105,666,5
20200201,18,101,105,920,5
20200201,18,101,105,773,5
20200201,18,101,105,895,5
20200201,18,101,105,934,5
20200201,23,101,105,694,5
20200201,23,101,105,713,5
20200201,23,101,105,772,5
20200201,23,101,105,760,5
20200201,8,101,105,1070,5
20200201,8,101,105,1231,5
20200201,8,101,105,1024,5
20200201,8,101,105,1255,5
20200201,8,101,105,1231,5
20200201,10,101,105,898,5
20200201,10,101,105,1012,5
20200201,10,101,105,864,5
20200201,10,101,105,1015,5
20200201,10,101,105,982,5
20200201,15,101,105,834,5
20200201,15,101,105,823,5
20200201,15,101,105,761,5
20200201,15,101,105,828,5
20200201,15,101,105,872,5
20200201,17,101,105,764,5
20200201,17,101,105,893,5
20200201,17,101,105,863,5
20200201,17,101,105,908,5
20200201,17,101,105,903,5
20200201,22,101,105,810,5
20200201,22,101,105,810,5
20200201,22,101,105,750,5
20200201,22,101,105,704,5
20200201,0,101,105,620,5
20200201,0,101,105,652,5
20200201,0,101,105,688,5
20200201,0,101,105,727,5
20200201,0,101,105,753,5
20200201,0,101,105,686,5
20200201,11,101,105,849,5
20200201,11,101,105,936,5
20200201,11,101,105,814,5
20200201,11,101,105,938,5
20200201,11,101,105,909,5
20200201,20,101,105,821,5
20200201,20,101,105,731,5
20200201,20,101,105,836,5
20200201,20,101,105,862,5
20200201,12,101,105,814,5
20200201,12,101,105,880,5
20200201,12,101,105,790,5
20200201,12,101,105,891,5
20200201,12,101,105,877,5
20200201,16,101,105,833,5
20200201,16,101,105,814,5
20200201,16,101,105,760,5
20200201,16,101,105,822,5
20200201,16,101,105,852,5
20200201,9,101,105,930,5
20200201,9,101,105,1085,5
20200201,9,101,105,969,5
20200201,9,101,105,1106,5
20200201,9,101,105,1112,5
20200201,7,101,105,1143,5
20200201,7,101,105,1401,5
20200201,7,101,105,1158,5
20200201,7,101,105,1345,5
20200201,7,101,105,1364,5
20200201,7,101,105,1203,5
20200201,21,101,105,790,5
20200201,21,101,105,722,5
20200201,21,101,105,820,5
20200201,21,101,105,856,5
20200201,21,101,110,3303,5
20200201,7,101,110,3186,5
20200201,9,101,110,3743,5
20200201,9,101,110,3182,5
20200201,9,101,110,3451,5
20200201,9,101,110,3930,5
20200201,9,101,110,4225,5
20200201,16,101,110,3757,5
20200201,16,101,110,3616,5
20200201,16,101,110,3256,5
20200201,12,101,110,3636,5
20200201,12,101,110,5865,5
20200201,12,101,110,3869,5
20200201,12,101,110,3570,5
20200201,12,101,110,3781,5
20200201,0,101,110,2930,5
20200201,0,101,110,3482,5
20200201,0,101,110,3989,5
20200201,0,101,110,3279,5
20200201,11,101,110,3649,5
20200201,11,101,110,3746,5
20200201,11,101,110,4185,5
20200201,20,101,110,3515,5
20200201,22,101,110,3243,5
20200201,22,101,110,4348,5
20200201,17,101,110,2766,5
20200201,17,101,110,3161,5
20200201,8,101,110,3476,5
20200201,8,101,110,3749,5
20200201,8,101,110,4157,5
20200201,8,101,110,3742,5
20200201,8,101,110,4872,5
20200201,10,101,110,3527,5
20200201,10,101,110,3997,5
20200201,15,101,110,3372,5
20200201,15,101,110,3587,5
20200201,23,101,110,3066,5
20200201,23,101,110,4174,5
20200201,1,101,110,2927,5
20200201,1,101,110,3731,5
20200201,1,101,110,3287,5
